"A_procjust","A_interjust","A_orgjust","A_genatrct","A_intpurs","A_prest","A_orgatrct","A_compete","A_socresp","A_support","A_innovate","B_procjust","B_interjust","B_orgjust","B_genatrct","B_intpurs","B_prest","B_orgatrct","B_compete","B_socresp","B_support","B_innovate","id"
4.11,5,4.56,3,3.6,4,3.53,4,3.75,2.5,4,2.78,4.78,3.78,3,3.4,3,3.13,3,3.75,4,3.5,68
4.11,3.67,3.89,3.2,4.8,4.8,4.27,4.5,4,4.5,3.75,3.33,4.44,3.89,4,4.8,4.8,4.53,4.25,3.5,3.75,3.5,69
3,2.78,2.89,3.2,2.8,3.8,3.27,3,2.25,1.75,3.75,4.11,5,4.56,4.2,5,3.8,4.33,3.75,4.5,5,3.25,70
3.56,3.44,3.5,3,2.6,4.2,3.27,3.25,3,2.25,4.25,3.22,4.89,4.06,3.6,4.8,5,4.47,4,4,5,3.5,71
4.44,2.22,3.33,3.6,4.6,4.2,4.13,4,4,3.25,4,4.11,2.33,3.22,4.2,4.8,4,4.33,4.75,5,4.75,4.5,72
2,2.22,2.11,2.8,3.2,2.4,2.8,2.5,2,1.75,3.25,2.78,4.22,3.5,NA,4.2,3.4,NA,2.25,3.25,4,2.75,73
2.78,1.89,2.34,2.6,2.6,2.8,2.67,4,2,1,3,4,4.67,4.34,4,4.4,4,4.13,3.25,3.5,3.5,3.25,74
3.89,4,3.95,3,2.6,3.4,3,3.5,4,3.75,3.5,4,NA,NA,3.6,4.4,3.8,3.93,4.75,4.75,4.5,4.75,75
3.33,3.11,3.22,3,2.4,3,2.8,4,2.25,2,3,4,4.89,4.44,4,4.6,4.8,4.47,3.25,4.75,4.5,4.25,76
2.11,1.89,2,2.4,1.6,2.2,2.07,1.25,1.25,1.5,1.5,2.44,3.67,3.05,3,2.6,3.2,2.93,2.75,2.5,2,1.75,77
3.11,2.56,2.84,2.8,2.6,2.2,2.53,2.5,1,1,2.25,3.78,4.67,4.22,4.2,5,5,4.73,2.25,2.75,4,2.75,78
3.44,2.78,3.11,3.4,3.4,3.4,3.4,3.5,3,3,3.75,3.78,4.44,4.11,3.4,4.2,4.2,3.93,3.75,3.75,3.75,3.75,79
