"id","condition","AVI.id","procjust","interjust","orgjust","genatrct","intpurs","prest","orgatrct","compete","socresp","support","innovate"
49,"AVI",1,2.22,1.33,1.78,2.2,1.8,3.2,2.4,3,2.75,2.5,4.25
49,"Traditional",0,4.22,4.78,4.5,4.2,4.8,4.6,4.53,4.25,4,3.75,2.75
50,"AVI",1,1.67,1.33,1.5,2.2,1.4,1.6,1.73,2,1,1,2.25
50,"Traditional",0,3.11,4.78,3.95,3.6,4.2,3.4,3.73,1.75,2.75,3.25,1.75
51,"AVI",1,3.11,2.11,2.61,2.8,3.2,2.6,2.87,3,2.5,1.5,2.75
51,"Traditional",0,3.22,3.56,3.39,3.6,4.2,3.8,3.87,3.25,3.75,3.75,3
52,"AVI",1,1.33,2.22,1.78,3.2,1,2.8,2.33,4.75,3.5,2.25,3.25
52,"Traditional",0,4.89,5,4.94,4.2,5,4.6,4.6,4.75,5,4.75,4.5
53,"AVI",1,3.44,2.44,2.94,3,4.2,3.6,3.6,3.5,3.5,3,4.25
53,"Traditional",0,2.44,3.56,3,3.2,3.6,3.2,3.33,3.5,3.25,2.5,3.25
54,"AVI",1,3.22,2.56,2.89,3.4,4.2,4,3.87,3.25,3.75,3.75,4
54,"Traditional",0,4.11,4.78,4.44,4.4,4.8,5,4.73,3.75,4.25,3.75,4.25
55,"AVI",1,3.56,3.67,3.62,3,3.4,3.2,3.2,3,3,3,2.25
55,"Traditional",0,3.22,4.22,3.72,3.2,3,3.4,3.2,3,3,3.5,3
56,"AVI",1,4.33,4,4.16,3.2,3.6,4,3.6,5,4,3.5,5
56,"Traditional",0,4.22,5,4.61,4.2,5,4.6,4.6,5,4.75,5,4.75
57,"AVI",1,4.11,4.22,4.16,3.6,4,4,3.87,4.75,5,4.75,4.75
57,"Traditional",0,4.11,4.89,4.5,4.4,4.6,4.4,4.47,4.5,4.75,4.5,4.5
58,"AVI",1,2.89,2.44,2.66,3.2,2.8,4.4,3.47,3,2.75,1.5,3
58,"Traditional",0,3,3.56,3.28,3.6,3.2,3.6,3.47,3.5,3.25,3.25,3.25
59,"AVI",1,4,2.67,3.34,3.2,4,3.8,3.67,4.25,3.5,2.5,3.75
59,"Traditional",0,3.22,4.22,3.72,3.4,4.2,3.4,3.67,2.5,4.25,3.75,2.25
60,"AVI",1,2.78,3.22,3,3.2,3.6,3.4,3.4,3,3.5,3.25,2.75
60,"Traditional",0,3.56,4,3.78,3.6,3.4,3,3.33,3,4.25,3.5,3
61,"AVI",1,4,4.33,4.16,3.4,3.8,3.8,3.67,3.5,3.75,4.25,3
61,"Traditional",0,3.89,4.22,4.06,4,4,3.8,3.93,3.5,3.75,4,3
62,"AVI",1,3.11,2.11,2.61,2.8,2.2,2.4,2.47,2.75,3.25,2.5,3
62,"Traditional",0,3.67,4.56,4.12,3.8,3.6,4,3.8,3.5,4,3.75,2.75
63,"AVI",1,3.11,2.56,2.84,3.2,3.2,3.2,3.2,3.5,3,3,4.25
63,"Traditional",0,2.44,2.67,2.55,2.8,2.8,2.4,2.67,3.25,2.5,2.25,2.5
64,"AVI",1,3.67,2.89,3.28,3.4,4.4,4.4,4.07,4.25,3.25,2.75,4.25
64,"Traditional",0,3.56,4.56,4.06,4.2,4.4,4.4,4.33,3.25,3.75,4,3.25
65,"AVI",1,3.67,4,3.84,3.6,3.6,3.6,3.6,3.75,3.25,3.75,3.5
65,"Traditional",0,4.22,4.22,4.22,4.4,5,4.8,4.73,3.5,4,4.25,3.75
66,"AVI",1,3.67,2.56,3.12,3.2,3,3.4,3.2,3.5,3,2.25,4.25
66,"Traditional",0,3.89,4.78,4.34,3.8,4.8,3.8,4.13,3.25,3.75,4.25,4
67,"AVI",1,2.44,2.44,2.44,3.2,3.2,3.8,3.4,4.5,3.25,4,4.75
67,"Traditional",0,2.89,3.22,3.06,3.4,4,3.8,3.73,3.75,4,3.75,4
68,"AVI",1,4.11,5,4.56,3,3.6,4,3.53,4,3.75,2.5,4
68,"Traditional",0,2.78,4.78,3.78,3,3.4,3,3.13,3,3.75,4,3.5
69,"AVI",1,4.11,3.67,3.89,3.2,4.8,4.8,4.27,4.5,4,4.5,3.75
69,"Traditional",0,3.33,4.44,3.89,4,4.8,4.8,4.53,4.25,3.5,3.75,3.5
70,"AVI",1,3,2.78,2.89,3.2,2.8,3.8,3.27,3,2.25,1.75,3.75
70,"Traditional",0,4.11,5,4.56,4.2,5,3.8,4.33,3.75,4.5,5,3.25
71,"AVI",1,3.56,3.44,3.5,3,2.6,4.2,3.27,3.25,3,2.25,4.25
71,"Traditional",0,3.22,4.89,4.06,3.6,4.8,5,4.47,4,4,5,3.5
72,"AVI",1,4.44,2.22,3.33,3.6,4.6,4.2,4.13,4,4,3.25,4
72,"Traditional",0,4.11,2.33,3.22,4.2,4.8,4,4.33,4.75,5,4.75,4.5
73,"AVI",1,2,2.22,2.11,2.8,3.2,2.4,2.8,2.5,2,1.75,3.25
73,"Traditional",0,2.78,4.22,3.5,NA,4.2,3.4,NA,2.25,3.25,4,2.75
74,"AVI",1,2.78,1.89,2.34,2.6,2.6,2.8,2.67,4,2,1,3
74,"Traditional",0,4,4.67,4.34,4,4.4,4,4.13,3.25,3.5,3.5,3.25
75,"AVI",1,3.89,4,3.95,3,2.6,3.4,3,3.5,4,3.75,3.5
75,"Traditional",0,4,NA,NA,3.6,4.4,3.8,3.93,4.75,4.75,4.5,4.75
76,"AVI",1,3.33,3.11,3.22,3,2.4,3,2.8,4,2.25,2,3
76,"Traditional",0,4,4.89,4.44,4,4.6,4.8,4.47,3.25,4.75,4.5,4.25
77,"AVI",1,2.11,1.89,2,2.4,1.6,2.2,2.07,1.25,1.25,1.5,1.5
77,"Traditional",0,2.44,3.67,3.05,3,2.6,3.2,2.93,2.75,2.5,2,1.75
78,"AVI",1,3.11,2.56,2.84,2.8,2.6,2.2,2.53,2.5,1,1,2.25
78,"Traditional",0,3.78,4.67,4.22,4.2,5,5,4.73,2.25,2.75,4,2.75
79,"AVI",1,3.44,2.78,3.11,3.4,3.4,3.4,3.4,3.5,3,3,3.75
79,"Traditional",0,3.78,4.44,4.11,3.4,4.2,4.2,3.93,3.75,3.75,3.75,3.75
80,"AVI",1,3.67,2.22,2.95,3.2,3.6,3,3.27,3.5,2.5,2.25,3.5
80,"Traditional",0,3.67,4.44,4.06,3.8,4.6,4.4,4.27,4.25,3.75,3.5,3.75
81,"AVI",1,1.33,2,1.67,2.8,2.2,2.8,2.6,2.75,5,4.75,4.25
81,"Traditional",0,3.22,4.44,3.83,3.8,3.8,3.6,3.73,2.75,4,4.75,2.5
82,"AVI",1,4,3.22,3.61,2.4,3,3.2,2.87,4,3.25,2.5,3.75
82,"Traditional",0,4.33,4.33,4.33,4.2,4.6,4.6,4.47,4.25,5,4.25,3.5
83,"AVI",1,2.56,2.89,2.72,3.2,4,3.4,3.53,4.25,2.75,2.5,3.5
83,"Traditional",0,3,3.44,3.22,3.6,4,3.2,3.6,3,3.25,3,1.75
84,"AVI",1,3.78,3.56,3.67,NA,4.6,3.4,NA,4,3.75,4,4
84,"Traditional",0,2.67,4.89,3.78,3.8,3.8,3.2,3.6,3.25,3.25,4,2
85,"AVI",1,4.44,4.67,4.56,3.4,4.6,4.8,4.27,4.5,4,4.5,4
85,"Traditional",0,NA,NA,NA,3.8,4,3.8,3.87,3.75,3.5,3.25,4
86,"AVI",1,2.78,1.89,2.34,2.8,3,3.4,3.07,3.75,3,2.25,3.5
86,"Traditional",0,3.67,4.22,3.94,4,4.8,4.6,4.47,4,4,3.25,4.25
87,"AVI",1,3.11,3.11,3.11,2.2,3,3.6,2.93,3.75,3,2,3
87,"Traditional",0,4.22,4.78,4.5,4.2,4.6,4.8,4.53,3.75,4.25,4.25,3.75
88,"AVI",1,2.67,3.44,3.05,3.2,4.2,3.8,3.73,4.25,3.75,4,3.25
88,"Traditional",0,4.33,5,4.66,4.2,5,4.6,4.6,5,4.75,4.75,4
89,"AVI",1,3.33,2.78,3.05,2.8,4.2,4.6,3.87,5,4,5,3.75
89,"Traditional",0,3.22,4.56,3.89,3.4,NA,4,NA,3.75,4,3.25,3.5
90,"AVI",1,1.56,1.56,1.56,2.6,1.2,1.6,1.8,2,2,2,2.75
90,"Traditional",0,4.11,4.44,4.28,3.4,3.6,4,3.67,4.5,4.25,NA,4
91,"AVI",1,3.67,3.44,3.55,3,4.2,3.6,3.6,4.5,4.5,4.25,4
91,"Traditional",0,3.78,4.22,4,2.6,3.4,3.6,3.2,3,3.5,4,3
92,"AVI",1,3,3.11,3.05,3,4.6,4.6,4.07,4.75,4.5,4.25,4.25
92,"Traditional",0,4.11,5,4.56,4.2,5,5,4.73,4,4.5,4,4.25
93,"AVI",1,2.44,3.44,2.94,3.2,2.6,2.8,2.87,3.5,2.75,2.25,3.5
